Diagnosis_1,Diagnosis_2,freq
Label 1,Label 1,280
Label 1,Label 2,65
Label 1,Label 3,32
Label 1,Label 4,116
Label 1,Label 5,0
Label 2,Label 1,0
Label 2,Label 2,446
Label 2,Label 3,162
Label 2,Label 4,80
Label 2,Label 5,0
Label 3,Label 1,0
Label 3,Label 2,0
Label 3,Label 3,588
Label 3,Label 4,101
Label 3,Label 5,0
Label 4,Label 1,0
Label 4,Label 2,0
Label 4,Label 3,0
Label 4,Label 4,1207
Label 4,Label 5,0
Label 5,Label 1,0
Label 5,Label 2,0
Label 5,Label 3,0
Label 5,Label 4,0
Label 5,Label 5,10548
